Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\24-104\24-104_DIA_7.d	H:\24-104\24-104_DIA_8.d	H:\24-104\24-104_DIA_9.d	H:\24-104\24-104_DIA_10.d	H:\24-104\24-104_DIA_11.d	H:\24-104\24-104_DIA_12.d
orf19.4041	orf19.4041	PEX4	PEX4		8989.41	7004.42	7976.7	25296.6	17457.5	20307.9
orf19.4043	orf19.4043	orf19.4043	orf19.4043		16259.7	13628	13649.1	21611.2	29427.2	35952.9
orf19.4044	orf19.4044	MUM2	MUM2		1600.58	1719.97	1753.82	23216.1	19009.7	21424.2
orf19.4045	orf19.4045	EST1	EST1		14586.2	15359.7	13561.9	8675.32	16394.3	13973.3
orf19.4046	orf19.4046	orf19.4046	orf19.4046		33885.4	26540.5	36394.5	78310.9	51881.3	53841.9
orf19.4048	orf19.4048	DES1	DES1		10306.6	8471.93	7481.22	8994.61	9096.94	13285.7
orf19.405	orf19.405	VCX1	VCX1		30399.4	23692.4	24319.4	8964.04	18375	19501.1
orf19.4051	orf19.4051	HTS1	HTS1		416600	433252	391371	273198	221554	273987
orf19.4054	orf19.4054	CTA24	CTA24		104560	116542	113848	108186	132850	117031
orf19.406	orf19.406	ERG1	ERG1		88272.2	81154.7	49600	23945.2	39515.3	42636.4
orf19.4060	orf19.4060	ARO4	ARO4		647372	539959	567782	493007	391513	374622
orf19.4061	orf19.4061	orf19.4061	orf19.4061		7333.69	8333.77	7491.49	7358.17	7348.64	8625.34
orf19.4062	orf19.4062	TRY2	TRY2		3960.51	2511.93	9978.72	13833.9	3165.12	8357.79
orf19.4064	orf19.4064	GPI7	GPI7		26585.5	21048.1	20734.5	13416	18873.6	19674.1
orf19.4066	orf19.4066	orf19.4066	orf19.4066		72913.3	59681.5	65098.5	22692.6	28979.4	26643.9
orf19.407	orf19.407	GCD6	GCD6		88710.4	84575.4	90677.6	118357	101595	113773
orf19.4076	orf19.4076	MET10	MET10		18524.9	17884.4	17851	39723.5	41850.8	43121.3
orf19.4077	orf19.4077	MIT1	MIT1		5886.79	5295.42	5869.69	2356.36	1184.22	2391.58
orf19.4078	orf19.4078	orf19.4078	orf19.4078		19327.1	17551.3	18070.6	18514.4	16798.3	26321.1
orf19.4079	orf19.4079	SLP2	SLP2		200502	179933	204512	257919	187934	210454
orf19.4080	orf19.4080	orf19.4080	orf19.4080		55400.9	51727.6	33925.5	46045.2	51471.8	47401.6
orf19.4082	orf19.4082	DDR48	DDR48		8516.39	3727.34	3773.38	3528.68	3746.16	3906.13
orf19.4084	orf19.4084	KIS1	KIS1		93782.3	95027.1	105520	110397	108780	90883.1
orf19.4086	orf19.4086	orf19.4086	orf19.4086		12090.9	12984.6	13313.4	14447.5	14966.6	18123.6
orf19.4088	orf19.4088	GLO2	GLO2		71704.1	71427.8	77232.2	154685	151984	133313
orf19.4089	orf19.4089	SGT1	SGT1		113821	110540	84858.5	112939	131560	141316
orf19.409	orf19.409	orf19.409	orf19.409		20804.5	15781.4	15068.1	8575.11	7375.02	11400.2
orf19.4091	orf19.4091	MED18	MED18		60105.4	68402.9	59387.7	87714.3	85813.5	66539.9
orf19.4092	orf19.4092	orf19.4092	orf19.4092		21130.1	23001.3	26486.9	16635	14572	10595
orf19.4093	orf19.4093	PES1	PES1		122474	107980	105870	35146.6	57892.3	53410.9
orf19.4096	orf19.4096	TAZ1	TAZ1		8268.92	7854.81	11144	4267.57	2248.34	2279.81
orf19.4097	orf19.4097	orf19.4097	orf19.4097		12484.7	8697.82	11464.6	3631.06	5902.47	6086.02
orf19.4099	orf19.4099	ECM17	ECM17		50569.4	39734.7	50207.5	32723.8	37060.8	38040.8
orf19.410.3	orf19.410.3	RIB4	RIB4		426128	443345	451928	675660	631131	569571
orf19.4102	orf19.4102	RPN10	RPN10		216936	244794	226519	786881	632382	619791
orf19.4105	orf19.4105	orf19.4105	orf19.4105		3879.87	5151.43	5100.32	8559.15	7143.27	10483.2
orf19.4106	orf19.4106	orf19.4106	orf19.4106		6316.96	6384.24	6213.16	5747.89	6074.9	7139.95
orf19.4107	orf19.4107	orf19.4107	orf19.4107		25842.5	23982.8	22931.1	26525.4	30642.6	28345
orf19.4109	orf19.4109	PMT4	PMT4		30731.3	25181.2	29610.8	20212	36569.9	35764.2
orf19.411	orf19.411	orf19.411	orf19.411		3918.85	4308.1	3809.51	18472.7	15566.4	14374.3
orf19.4110	orf19.4110	orf19.4110	orf19.4110		6217.21	4468.39	6969.64	6959.81	6441.06	7240.52
orf19.4112	orf19.4112	orf19.4112	orf19.4112		34168.9	32326.7	38707.6	34140.5	29110.6	28862.8
orf19.4114	orf19.4114	FAA2-1	FAA2-1		7973.02	7150.96	8184.35	21684.1	29115.6	33251.2
orf19.4116	orf19.4116	orf19.4116	orf19.4116		2578.61	1759.65	2270.69	1103.65	1664.08	1828.64
orf19.4117	orf19.4117	orf19.4117	orf19.4117		21604.2	21872.4	22492.5	28201.9	40397.3	48399.7
orf19.4118	orf19.4118	CNT	CNT		8347.2	6128.86	9605.86	2228.91	2450.43	3292.06
orf19.4119	orf19.4119	SPO72	SPO72		4556.39	4073	3927.97	7694.53	12926.8	12094
orf19.412	orf19.412	SSH1	SSH1		11273	8282.99	10226.3	4694.01	9687.82	12105.6
orf19.4120	orf19.4120	LAS1	LAS1		7002.35	6183.21	6831.94	5220.51	5749.79	4805.3
orf19.4122	orf19.4122	orf19.4122	orf19.4122		20713.1	13878	17380.4	7694.53	8998.94	8108.43
orf19.4123	orf19.4123	orf19.4123	orf19.4123		16502.8	15542.1	17760.8	11057.8	13780.5	14317.2
orf19.4125	orf19.4125	PZF1	PZF1		11071.4	15365.8		7501.26	14406.7	23590.8
orf19.4127	orf19.4127	orf19.4127	orf19.4127		36723.8	29697.6	23851.8	24587.1	32390.8	37850
orf19.4128	orf19.4128	orf19.4128	orf19.4128		1167.64	1334.98	1803.84	1092.95	2302.58	1916.24
orf19.413.1	orf19.413.1	RPS27A	RPS27A		233728	262211	319046	831622	830060	839995
orf19.4131	orf19.4131	orf19.4131	orf19.4131		32883.6	27424.1	29798.6	26362.1	38428.3	41823.8
orf19.4132	orf19.4132	orf19.4132	orf19.4132		6857.51	5561.67	6683.5	12897.5	10834.5	15723.7
orf19.4133	orf19.4133	orf19.4133	orf19.4133		67535.9	95479.2	41731.8	72332.7	77886.4	147343
orf19.4135	orf19.4135	PRC2	PRC2		64773.5	55180.1	48155.3	157197	173533	158902
orf19.4136	orf19.4136	YBL053	YBL053		11112.1	9107.1	9383.11	8830.9	15865.9	14402.5
orf19.414	orf19.414	RSM22	RSM22		24663.5	28583.2	30956.5	11388	8509.55	7209.27
orf19.4144	orf19.4144	orf19.4144	orf19.4144		29199.1	20865.9	25253.3	18661.5	23071.7	30973.1
orf19.4145	orf19.4145	ZCF20	ZCF20		2489.12	1660.51	1867.75			2927.28
orf19.4146	orf19.4146	SMD3	SMD3		105626	117859	113500	121433	110949	97478
orf19.4147	orf19.4147	GLR1	GLR1		427844	450379	426942	882020	834739	804719
orf19.4148	orf19.4148	orf19.4148	orf19.4148		4738.37	5791.31	6025.23	10275.1	9612.52	8927.57
orf19.4149.1	orf19.4149.1	orf19.4149.1	orf19.4149.1		92347.3	79302.8	98180.5	27915.8	48774.3	37014.4
orf19.415	orf19.415	orf19.415	orf19.415		117077	108874	139511	104360	82499.5	90131.7
orf19.4150	orf19.4150	orf19.4150	orf19.4150		56999.4	51282.5	48902.4	21673.7	25856.5	32689.5
orf19.4152	orf19.4152	CEF3	CEF3		1.49137e+06	1.21822e+06	1.24336e+06	569109	769883	805504
orf19.4153	orf19.4153	orf19.4153	orf19.4153		30498.3	30658	32884.4	45209.6	50014.9	59270.1
orf19.4157	orf19.4157	SPS20	SPS20		30790	29811.8	39793.1	36939.6	41456	50718.1
orf19.4159	orf19.4159	orf19.4159	orf19.4159		2945.66	1936.63	3793.4		576.06	3339.2
orf19.4160	orf19.4160	orf19.4160	orf19.4160		4266.57	4413.24	4575.25	2094.26	1956.79	2163.68
orf19.4161	orf19.4161	orf19.4161	orf19.4161		15088	16438	13896.4	20828.5	22435.4	25422
orf19.4162	orf19.4162	MLH1	MLH1		8472.64	7762.91	7985.75	23016.9	27877.7	29508.8
orf19.4163	orf19.4163	orf19.4163	orf19.4163		29510.7	26328.9	26381	21509.3	34601.6	39253.7
orf19.4164	orf19.4164	orf19.4164	orf19.4164		23140.4	22418.3	25118.8	22982.8	23308.4	19172.7
orf19.4166	orf19.4166	ZCF21	ZCF21		5402.4	7700.78	3001	5271.08	4394.16	10950.7
orf19.4167	orf19.4167	orf19.4167	orf19.4167		19146.8	19187.2	8898.28	4658.84	7046.96	18986.4
orf19.4168	orf19.4168	orf19.4168	orf19.4168		7935.06	8971.88	12558.1	5096.09	5856.72	5424.77
orf19.417	orf19.417	MTM1	MTM1		10418.3	8835.37	9058.34	5861.44	8347.84	8716.42
orf19.4171	orf19.4171	orf19.4171	orf19.4171		48205.1	48038.1	52240.4	62180.8	52232.3	65040.6
orf19.4172	orf19.4172	orf19.4172	orf19.4172		168611	166138	160563	141988	116247	137513
orf19.4173	orf19.4173	orf19.4173	orf19.4173		7406.18	6553.62	9243.17	8072.9	7292.03	8710.34
orf19.4174	orf19.4174	orf19.4174	orf19.4174		294.545					375.609
orf19.4176	orf19.4176	orf19.4176	orf19.4176		30242.6	34131.4	22935.9	6753.5	7949.06	44973.3
orf19.4177	orf19.4177	HIS5	HIS5		114855	88952.2	86409	63194.8	53010.6	85890.8
orf19.418	orf19.418	KOG1	KOG1		15966.7	11638.6	13175.3	9712.04	11396.4	14916.6
orf19.4180	orf19.4180	SEC72	SEC72		209013	256169	280347	445402	319782	345259
orf19.4181	orf19.4181	SPC2	SPC2		91540.4	63809.9	65926.7	66178.4	87755.4	90984.7
orf19.4182	orf19.4182	orf19.4182	orf19.4182		1416.06	1424.72	1669.03	3598.76	4882.12	6328.29
orf19.4183	orf19.4183	MUC1	MUC1		16392	14591	14856.3	26209.9	23066.8	28706.4
orf19.4184	orf19.4184	orf19.4184	orf19.4184		9854.4	11161.3	12682.3	12284.2	11861.6	12597.4
orf19.4185	orf19.4185	orf19.4185	orf19.4185		3682.71	3820.86	4229.23	1788.86	1173.58	
orf19.4186	orf19.4186	PCT1	PCT1		87155.3	89793.5	97108.8	116556	102284	147452
orf19.4187	orf19.4187	orf19.4187	orf19.4187		7537.18	5207.08	2439.32	2336.76	3476.25	3354.06
orf19.4188	orf19.4188	NMD5	NMD5		28135	26240.4	24652.4	17444.5	29181.4	27575.5
orf19.419	orf19.419	orf19.419	orf19.419		11624.5	16222.9	13933.3	70580.1	66730	58235.2
orf19.4190	orf19.4190	PAM18	PAM18		171975	150029	167806	73535.1	77610.5	67081.8
orf19.4191	orf19.4191	RLP24	RLP24		40939.1	65164.9	39489.6	22267.1	33602.7	81960.3
orf19.4191.1	orf19.4191.1	orf19.4191.1	orf19.4191.1		10646.5	8557.79	8887.14	11579.4	17482.6	19772
orf19.4192	orf19.4192	CDC14	CDC14		7534.83	5667.84	6362.12	10206.6	12093	15321.4
orf19.4192.1	orf19.4192.1	orf19.4192.1	orf19.4192.1		15685.3	17048.7	18789.5	25675.4	20185.6	17620.9
orf19.4193	orf19.4193	orf19.4193	orf19.4193		73369.1	103840	89245.6	115641	104581	110625
orf19.4193.1	orf19.4193.1	RPS13	RPS13		1.05715e+06	898172	623683	374417	568430	480087
orf19.4194	orf19.4194	orf19.4194	orf19.4194		6783.09	5590.96	4882.2	1182.93		14042.4
orf19.4195	orf19.4195	orf19.4195	orf19.4195		981.221	1725.99	1174.74	3612.38	1982.36	1499.97
orf19.4195.1	orf19.4195.1	FCA1	FCA1		19994.4	80250.6	13619.9	9541.12	12164.7	45351.9
orf19.4197	orf19.4197	YHM2	YHM2		34427.9	24835.5	33832.8	10893.4	13851.5	16274.8
orf19.4199	orf19.4199	SLY41	SLY41		3292.71	3179.16	3071.31	2967.43	5571.75	5816.35
orf19.4201	orf19.4201	NHX1	NHX1		3942.36	3915.13	4695.04	2855.56	3808.91	5428.83
orf19.4203	orf19.4203	orf19.4203	orf19.4203		14974	10645.4	10821.9	8688.03	15459.4	21983
orf19.4204	orf19.4204	orf19.4204	orf19.4204		115510	119779	133909	58997.4	44830.2	44721.8
orf19.4205.1	orf19.4205.1	orf19.4205.1	orf19.4205.1		73513.8	96429.4	100895	99098.3	79303.3	84175.8
orf19.4206	orf19.4206	orf19.4206	orf19.4206		6159.54	4567.53	6257.33	6366.78	10356.8	9691.93
orf19.4208	orf19.4208	RAD52	RAD52		8526.93	10621.5	11352.1	29098.1	25817.9	34049.1
orf19.4209	orf19.4209	orf19.4209	orf19.4209		6192.96	6284.07	7303.25	16770.4	11937.1	17351.3
orf19.4210	orf19.4210	orf19.4210	orf19.4210		3161.32	2937.85	3209.96	1706.95	2135.66	1789.25
orf19.4211	orf19.4211	orf19.4211	orf19.4211		2357.32	3323.06	1980.29	1956.51		
orf19.4212	orf19.4213;orf19.4211;orf19.4212	FET99	FET99		90234.3	129541	105069	15152.9	10389.4	25476.4
orf19.4215	orf19.4215	FET34	FET34		408953	458490	472765	120231	97932.6	90633.9
orf19.4216	orf19.3160;orf19.4216	orf19.4216	orf19.4216		625413	683756	732840	1.21622e+06	1.29882e+06	1.00288e+06
orf19.4217	orf19.4217	orf19.4217	orf19.4217		1272.27	1091.27	1212.96	931.979	594.423	
orf19.4219	orf19.4219	RIX7	RIX7		24571.5	23381.4	23989.9	22382	23672.1	26900.2
orf19.422	orf19.422	SPT20	SPT20		7020.65	6881.79	7562.92	13496.9	13014.2	15598.9
orf19.4220	orf19.4220	orf19.4220	orf19.4220		126589	150120	183780	215120	174287	149847
orf19.4221	orf19.4221	ORC4	ORC4		15737.1	12515.4	12860.7	10017	16064.7	18473.2
orf19.4223	orf19.4223	GCD11	GCD11		518093	398938	453793	310734	393558	455224
orf19.4225	orf19.4225	LEU3	LEU3		16909	14242.3	13926.7	9681.34	15927.9	15884.3
orf19.4225.1	orf19.4225.1	orf19.4225.1	orf19.4225.1		40940.4	147325	22296.2	33344.7	24311.2	228853
orf19.4228	orf19.4228	orf19.4228	orf19.4228		109365	96096.2	126765	162464	153133	163461
orf19.4229	orf19.4229	orf19.4229	orf19.4229		8247.67	10198.7	8859.54	37740.8	29838.3	31684.2
orf19.423	orf19.423	orf19.423	orf19.423		28659.7	35753.4	33803.8	40475.7	34371.3	35003.6
orf19.4230	orf19.4230	orf19.4230	orf19.4230		64484.5	64560.3	73393	90285.5	86810.3	105323
orf19.4231	orf19.4231	PTH2	PTH2		655.924	933.045	574.521		594.415	368.229
orf19.4232	orf19.4232	PTH1	PTH1		4080.44	3609.31	4607.07	2223.35	2106.99	2947.18
orf19.4233	orf19.4233	THR4	THR4		343282	348446	363474	262542	233224	247434
orf19.4234	orf19.4234	orf19.4234	orf19.4234		3963.5	3910.79	6453.54	6227.85	3108.66	5072.08
orf19.4235	orf19.4235	PDE1	PDE1		2862.25	6068.63	6049.67	8287.86	10090.2	7196.29
orf19.4236	orf19.4236	RET2	RET2		167664	165787	172226	193345	173341	201336
orf19.424	orf19.424	TRP99	TRP99		210810	189766	209330	511586	398653	416819
orf19.4240	orf19.4240	orf19.4240	orf19.4240		12166.3	6986.02	10074.2	5610.34	5487.67	7370.71
orf19.4242	orf19.4242	CST20	CST20		31769.3	26210.2	29994.2	33710.7	30187.6	32548.5
orf19.4243	orf19.4243	orf19.4243	orf19.4243		5385.21	4660.79	5936.22	4909.43	5725.81	5007.5
orf19.4245	orf19.4245	orf19.4245	orf19.4245		13547.5	16291	15794	24499.6	34230.9	30663.6
orf19.4246	orf19.4246	orf19.4246	orf19.4246		316567	285309	305249	380532	351222	427744
orf19.4247	orf19.4247	orf19.4247	orf19.4247		8439.35	8032.9	7093.36	13593	22343.7	26649
orf19.4248	orf19.4248	orf19.4248	orf19.4248		168930	200456	174505	171671	152246	152798
orf19.425	orf19.425	orf19.425	orf19.425		14987.7	13525.1	14513.2	3677.36		
orf19.4250	orf19.4250	orf19.4250	orf19.4250		17299.2	14528	17942.2	20847.4	15594.5	16483.6
orf19.4252	orf19.4252	orf19.4252	orf19.4252		52198.3	55449	51073.3	60327.9	39134.4	50542.5
orf19.4253	orf19.4253	orf19.4253	orf19.4253		15650.4	16077.9	18039.6	31270.5	28473.2	31116.1
orf19.4255	orf19.4255	ECM331	ECM331		50426.2	61746.1	60235.1	1706.1	2244.32	1008.59
orf19.4257	orf19.4257	INT1	INT1		14743	13820.6	13841.2	12494.2	16966.1	13878.3
orf19.4258	orf19.4258	orf19.4258	orf19.4258		3892.07	4247.72	6966.08	7826.02	6829.4	6218.32
orf19.426	orf19.426	orf19.426	orf19.426		21119.8	18595.8	18147.3	16010	19875.5	23210
orf19.4261	orf19.4261	TIF5	TIF5		386488	380486	395203	263564	237755	232969
orf19.4262	orf19.4262	orf19.4262	orf19.4262		27184.7	23600.4	26680.8	22872.6	22173.4	30898.5
orf19.4263	orf19.4263	orf19.4263	orf19.4263		17265	14999.2	19674.4	18358.7	21065.9	16471
orf19.4264	orf19.4264	orf19.4264	orf19.4264		23262.6	26172.4	23727.9	40725.7	26154.8	31363.1
orf19.4265	orf19.4265	UAP1	UAP1		90918.2	97145.3	97851.7	87285.7	81590.9	91755.3
orf19.4268	orf19.4268	UTP13	UTP13		24588	23858	21145.6	19924.5	19106.4	22675.6
orf19.4269	orf19.4269	orf19.4269	orf19.4269		4760.73	4217.18	2180.71	2633.57	3603.86	8267.25
orf19.427	orf19.427	orf19.427	orf19.427		3077.26	2560.89	3134.15	4315.39	6600.75	6046.68
orf19.4271	orf19.4271	orf19.4271	orf19.4271			2052.44		351.898	3048.55	547.888
orf19.4273	orf19.4273	orf19.4273	orf19.4273		21695.4	18543.1	22354.8	6285.55	7484.72	7621.13
orf19.4274	orf19.4274	PUT1	PUT1		44886.5	53291.4	49467.6	21927.8	24477.2	21849.9
orf19.4275	orf19.4275	RAD9	RAD9		2542.83	2383.21	2812.11	5748.44	4274.79	4101.71
orf19.4278	orf19.4278	orf19.4278	orf19.4278		50292.9	56405.8	56626	125335	106206	107348
orf19.4279	orf19.4279	MNN1	MNN1		2453.69	2523.53	3329.42	988.803		1125.18
orf19.428	orf19.428	orf19.428	orf19.428		14394.3	10793.2	14371.4	18955.9	31108.1	29371.2
orf19.4280	orf19.4280	orf19.4280	orf19.4280				3556.21	5091.88	3906.54	4278.25
orf19.4282	orf19.4282	IFH1	IFH1		9491.63	11450.9	11477.2	13006.9	10048	9841.68
orf19.4283	orf19.4283	orf19.4283	orf19.4283		680858	686315	750520	634981	504023	510388
orf19.4284	orf19.4284	BUR2	BUR2		9499.94	8186.04	6475.98	7383.57	10388.4	11057.3
orf19.4287	orf19.4287	orf19.4287	orf19.4287		31350.3	25909.8	28284.1	50948.1	68228.2	60726.1
orf19.4288	orf19.4288	CTA7	CTA7		10134.3	7877.76	9996.9	8839.57	12090.7	13114.4
orf19.429	orf19.429	orf19.429	orf19.429		24564.2	22119.5	23503.9	21080.2	20430.9	20809.2
orf19.4290	orf19.4290	TRR1	TRR1		1.28769e+06	1.18147e+06	1.41907e+06	1.44464e+06	1.16292e+06	1.06805e+06
orf19.4292	orf19.4292	orf19.4292	orf19.4292		19728.9	16595.6	15924.7	15581.6	17083.3	17883.2
orf19.4293	orf19.4293	orf19.4293	orf19.4293		118553	103981	118910	97707.9	78250	88668.8
orf19.4294	orf19.4294	orf19.4294	orf19.4294		28950.4	25719.9	28288.4	21356.4	17909	21394.2
orf19.4295	orf19.4295	orf19.4295	orf19.4295		13953.5	13494.6	13480.5	13514.4	21097.6	19821.5
orf19.4297	orf19.4297	CKB2	CKB2		78506.5	90316.9	71534.3	63061.7	48861.6	68694.1
orf19.4299	orf19.4299	MSW1	MSW1		25860.5	25514.4	24845.8	17748.1	17016.5	17829.2
orf19.430	orf19.430	YPT53	YPT53		5499.91	9759	2595.44	6655.29	7406.1	33096.7
orf19.4301	orf19.4301	orf19.4301	orf19.4301		5487.9	5677.03	6217.21	11834.9	13522.3	11826.9
orf19.4304	orf19.4304	GAP1	GAP1		14654.1	6092.8	12633.7	2442.55	2736.87	
orf19.4305.1	orf19.4305.1	orf19.4305.1	orf19.4305.1		77614.7	86650	77538.7	87822.5	79982.1	75114.9
orf19.4306	orf19.4306	orf19.4306	orf19.4306		55580.8	56177.7	57522.2	82445	80987.8	77727.7
orf19.4307	orf19.4307	orf19.4307	orf19.4307		27229.6	29011.4	27540.5	59055.1	52917.2	54405.6
orf19.4308	orf19.4308	HSL1	HSL1		12324.9	12004.6	10094.8	16882	23044.2	24180.5
orf19.4309	orf19.4309	GRP2	GRP2		1.24398e+06	1.27891e+06	1.26249e+06	2.63881e+06	2.80383e+06	2.69312e+06
orf19.431	orf19.431	ZCF2	ZCF2		9752.8	7554.89	9491.07	8335.33	10062.7	11514.1
orf19.4311	orf19.4311	YNK1	YNK1		1.08156e+06	1.12472e+06	1.02482e+06	858470	742508	795272
orf19.4312	orf19.4312	orf19.4312	orf19.4312		29629.7	30553.5	27553.2	34172.5	33074.2	41639.2
orf19.4315	orf19.4315	orf19.4315	orf19.4315		3001.81	2590.19	1760.44	3777.45	4892.36	8933.9
orf19.4316	orf19.4316	orf19.4316	orf19.4316		16336.7	20380.4	15751.2	47323.9	44628.1	61827.4
orf19.4317	orf19.4317	GRE3	GRE3		426871	416714	327094	508388	370402	487367
orf19.4318	orf19.4318	MIG1	MIG1		27441.4	28075.6	27441.6	32479.3	28764.7	22467.7
orf19.432	orf19.432	orf19.432	orf19.432					5216.73	6220.74	5340.98
orf19.4322	orf19.4322	DAP2	DAP2		19929.8	15372.8	17684.1	17770.4	25269.7	25593.1
orf19.4323	orf19.4323	orf19.4323	orf19.4323		1288.97	782.071	1209.05	1628.82	1554.97	1910.08
orf19.4324	orf19.4324	orf19.4324	orf19.4324		40197.7	39598.6	43128.4	27862.1	24957.7	21888.6
orf19.4325	orf19.4325	orf19.4325	orf19.4325		14453.6	11541.7	15916.6	14119.5	15877.2	17173.8
orf19.4326	orf19.4326	orf19.4326	orf19.4326		12294.5	10619.6	12991.5	19164.8	16559.1	17682
orf19.4328	orf19.4328	CCC2	CCC2		5074.04	3972.94	4689.73	3135.45	6508.33	4958.26
orf19.433	orf19.433	orf19.433	orf19.433		16972.6	12657.2	15863.3	15548.7	18426.5	18888
orf19.4336	orf19.4336	RPS5	RPS5		1.59021e+06	1.24306e+06	1.18354e+06	586786	514587	502252
orf19.4337	orf19.4337	orf19.4337	orf19.4337		4330.34	4293.3		3541.73	1420.56	6243.95
orf19.4339	orf19.4339	VPS4	VPS4		98591.4	94880.6	85497.7	233009	200114	192876
orf19.434	orf19.434	PRD1	PRD1		114978	95930.3	107698	143835	165653	208473
orf19.4340	orf19.4340	orf19.4340	orf19.4340		81583.2	92564.3	101556	109960	103756	95501.9
orf19.4340.1	orf19.4340.1	orf19.4340.1	orf19.4340.1		86499.9	78697.8	130262	122933	165405	110005
orf19.4346	orf19.4346	orf19.4346	orf19.4346		36349.6	36614.2	41104.2	46002	50468.1	44374.9
orf19.4347	orf19.4347	orf19.4347	orf19.4347		8572.62	7872.78	9034.47	2340.54	2218.24	23479.2
orf19.4348	orf19.4348	MED14	MED14		10471.3	9844.64	10003.4	9507.53	14495.4	14937.6
orf19.4349	orf19.4349	orf19.4349	orf19.4349		11952.6	14366.7	14784.6	27450.9	33044.8	34934.6
orf19.4353	orf19.4353	ULP2	ULP2		4573.39	4628.89	4753.47	6713.28	6313.69	7560.95
orf19.4354	orf19.4354	MCM2	MCM2		43718.7	38788.4	42375.6	44790.5	54758.8	64500.3
orf19.4355	orf19.4355	orf19.4355	orf19.4355		1721.86	2828.1	1722.91	5469.91	4514.62	5560.3
orf19.4357	orf19.4357	orf19.4357	orf19.4357		11155.7	8101.03	7959.43	8954.32	13632.8	17392.3
orf19.4358	orf19.4358	orf19.4358	orf19.4358		78725.5	82281.6	19494.3	47967.1	123482	189793
orf19.4362	orf19.4362	orf19.4362	orf19.4362		116711	113956	116596	187579	171605	226893
orf19.4363	orf19.4363	SGD1	SGD1		21698.5	21884.8	26581.9	14201.9	16114.4	16878.1
orf19.4365	orf19.4365	orf19.4365	orf19.4365		1168.23	967.508	1396.47	702.503	1121.92	
orf19.4367	orf19.4367	SMC1	SMC1		18449.4	15384.7	16488.7	19623	23589.1	23300
orf19.4368	orf19.4368	orf19.4368	orf19.4368		11845.3	8612.75	10581.1	33445.7	37254.8	33448.3
orf19.4369	orf19.4369	orf19.4369	orf19.4369		6802.79	7552.56	5930.84	11420.6	10699.9	17213.5
orf19.437	orf19.437	GRS1	GRS1		773055	723304	772626	683463	562113	669405
orf19.4370	orf19.4370	orf19.4370	orf19.4370		64170.2	65728.8	71323.1	47380.3	37252.8	39558.4
orf19.4371	orf19.4371	TAL1	TAL1		1.876e+06	1.92726e+06	1.89166e+06	2.96441e+06	3.13022e+06	2.73125e+06
orf19.4373	orf19.4373	orf19.4373	orf19.4373		68879.9	50772.2	61630.9	53730.8	55031.1	49374.7
orf19.4374	orf19.4374	PRP42	PRP42		9331.96	7307.19	7860.89	6958.59	10960.7	6848.27
orf19.4375	orf19.4375	orf19.4375	orf19.4375		70156.8	75189.9	59543.3	62368.8	35154.6	44754
orf19.4375.1	orf19.4375.1	RPS30	RPS30		19420.3	8613.52	68088.6		60224.3	5772
orf19.4378	orf19.4378	PPH3	PPH3		3232.47	6901.69		5742.82	7532.41	11971
orf19.4379	orf19.4379	PRP13	PRP13		1548.6	1506.39	1567.09	1425.2	2076.99	2463.68
orf19.4380.1	orf19.4380.1	orf19.4380.1	orf19.4380.1		31044.7	24356.6	27261	24785.2	37790.9	46337.7
orf19.4381	orf19.4381	VTC3	VTC3		62830.8	56255.1	52267.6	48958.7	58798.6	77133.7
orf19.4382	orf19.4382	orf19.4382	orf19.4382		72309.5	100600	48206.9	63540.9	66838.3	91177.6
orf19.4388	orf19.4388	orf19.4388	orf19.4388		22618.9	33813.4	30216.6	44349.2	39943.1	43485.1
orf19.439	orf19.439	orf19.439	orf19.439		89069.5	89804.7	94094.1	32305.1	36536.2	30506.6
orf19.4390	orf19.4390	orf19.4390	orf19.4390		17011.6	19294.5	18357.8	13232.4	10959	11995.7
orf19.4393	orf19.4393	CIT1	CIT1		1.42502e+06	1.3827e+06	1.42287e+06	764388	622812	659447
orf19.4395	orf19.4395	orf19.4395	orf19.4395		69410.7	52463.5	56129.5	64020.1	68605.6	86698.9
orf19.4396	orf19.4396	orf19.4396	orf19.4396		136442	138085	139683	123090	114820	115162
orf19.4399	orf19.4399	NCS2	NCS2		35741	35213.5	33585.5	31951.4	39658.8	38069.6
orf19.440	orf19.440	SDH1	SDH1		11110.5	11737.2	12320.1	10573.3	4862.94	8048.28
orf19.4401	orf19.4401	YVH1	YVH1		11096.8	12755.9	13795.2	9843.24	8720.38	8152.04
orf19.4403	orf19.4403	VPS11	VPS11		14857.5	12220.8	13263.4	17956	26299.6	28197.3
orf19.4406	orf19.4406	NIF3	NIF3		127040	129679	140450	179630	152790	143584
orf19.4407	orf19.4407	orf19.4407	orf19.4407		4678.85	3908.26	4344.23	3649.54	4611.55	6510.48
orf19.4409	orf19.4409	orf19.4409	orf19.4409		10598.5	12692.4	14272.3	25141.7	22805.2	22880.7
orf19.441	orf19.441	RPT1	RPT1		153693	126130	141689	277128	282321	344403
orf19.4410	orf19.4410	ALG1	ALG1		6094.1	4940.53	6893.51	6690.44	11542.7	12282
orf19.4411	orf19.4411	HOS1	HOS1		3447.57	3196.02	4395.35	7279.35	11960.8	9694.83
orf19.4413	orf19.4413	CMD1	CMD1		689297	679764	810301	1.05093e+06	1.01165e+06	828292
