Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\24-104\24-104_DIA_7.d	H:\24-104\24-104_DIA_8.d	H:\24-104\24-104_DIA_9.d	H:\24-104\24-104_DIA_10.d	H:\24-104\24-104_DIA_11.d	H:\24-104\24-104_DIA_12.d
orf19.1387	orf19.1387	orf19.1387	orf19.1387		14876.7	14260.3	13258.6	28382.6	24772.9	24619.2
orf19.1388	orf19.1388	orf19.1388	orf19.1388		43515.3	53893.7	53717.7	24031.6	24455.7	30622.2
orf19.1389	orf19.1389	orf19.1389	orf19.1389		277889	180381	137034	119638	91227	119641
orf19.139	orf19.139	TRA1	TRA1		33656.7	27762.1	32020	22380.5	31995.9	36543.1
orf19.1390	orf19.1390	PMI1	PMI1		422626	382201	392321	285007	253679	278633
orf19.1391	orf19.1391	orf19.1391	orf19.1391		14402.2	14360.4	13998.7	16689.2	14852.2	18307.8
orf19.1392	orf19.1392	orf19.1392	orf19.1392		12265.4	11044.1	12703.2	24399.7	22706	25848.1
orf19.1393	orf19.1393	orf19.1393	orf19.1393		7117.5	7306.71	11448.6	2689.84	4552.79	4148.06
orf19.1394	orf19.1394	orf19.1394	orf19.1394		749738	805963	677968	830768	754503	665103
orf19.1395	orf19.1395	orf19.1395	orf19.1395		29991.1	14755.2	20122.6	6948.95	9622.03	12211.7
orf19.1396	orf19.1396	orf19.1396	orf19.1396		87058.5	95922.7	109795	93436.4	61647.4	61344.8
orf19.1397	orf19.1397	orf19.1397	orf19.1397		8216.16	8708.52	11519.3	10249.6	10628.1	9467.9
orf19.1400	orf19.1400	orf19.1400	orf19.1400		10305.6	8853.66	6621.01	10089.1	10611.1	14550.4
orf19.1402	orf19.1402	CCT2	CCT2		249257	205629	245462	285144	272392	324868
orf19.1403	orf19.1403	orf19.1403	orf19.1403		21574.6	21187.3	20533.7	16270.4	19914.2	23149.6
orf19.1404	orf19.1404	orf19.1404	orf19.1404		11420.2	10459.6	11451.6	10103.8	8614.39	8185.41
orf19.1405	orf19.1405	PHO13	PHO13		14670.2	18040.1	17961	26547.5	26696.7	28354.8
orf19.1406	orf19.1406	orf19.1406	orf19.1406						589.805	
orf19.1409	orf19.1409	VAC7	VAC7		17496.3	20413.7	20284.3	20611.8	14928.5	18738.2
orf19.1409.1	orf19.1409.1	orf19.1409.1	orf19.1409.1		355451	341733	343772	239579	196291	171414
orf19.1412	orf19.1412	orf19.1412	orf19.1412		36263	38421.3	30407.4	17741.5	27016.2	28676.9
orf19.1413	orf19.1413	YFH1	YFH1		34655.4	51236.4	41096.1	16843.7	28311.3	33348.6
orf19.1414	orf19.1414	orf19.1414	orf19.1414		9029.89	9746.44	9195.8	16730.4	14546.7	12617.7
orf19.1415	orf19.1415	FRE10	FRE10		94253.5	94326.5	75811.4	25543.6	34432.3	39604.6
orf19.1416	orf19.1416	COX11	COX11		54784.1	51148.9	47498	38640.4	32514	37144.2
orf19.1417	orf19.1417	orf19.1417	orf19.1417		20824.8	19154.3	16316.3	10357.5	10903.1	10582.4
orf19.1418	orf19.1418	SEC15	SEC15		21020.7	17978	18591.9	22167.4	24412.4	27455.7
orf19.1420	orf19.1420	orf19.1420	orf19.1420		14111.9	14933	15548.6	21757.1	16272.6	16226.4
orf19.1421	orf19.1421	orf19.1421	orf19.1421		20268.7	19227.9	19617.8	23138.4	19998.9	27682.7
orf19.1422	orf19.1422	FZO1	FZO1		71488.6	68385.3	67430.6	109736	128361	147577
orf19.1426	orf19.1426	orf19.1426	orf19.1426		34050.6	38316.2	33106.2	18907.7	16336.4	15408.3
orf19.1428	orf19.1428	DUO1	DUO1		30598	24696.8	33405.7	40831.1	45828.7	36626.1
orf19.1429	orf19.1429	SOH1	SOH1		11227.1	13075.9	12319.4	23419.9	17652.6	19643.6
orf19.1433	orf19.1433	orf19.1433	orf19.1433		6234.04	5955.68	6297.39	9906.26	9064.23	10753.4
orf19.1435	orf19.382;orf19.1435	TEF1	TEF1		2.10053e+06	1.67159e+06	1.69186e+06	909233	979329	1.00556e+06
orf19.1438	orf19.1438	orf19.1438	orf19.1438		2215.44	3786.92	2198.35			
orf19.1439	orf19.1439	IPK1	IPK1		42032.7	34165.2	41868.7	49827.3	40728.4	45609.7
orf19.144	orf19.144	SNU114	SNU114		19561.9	17236.5	17946.4	21805	23571	25907.4
orf19.1440	orf19.1440	orf19.1440	orf19.1440		18475.5	17585.1	16971.4	14559.1	11053.8	15152.6
orf19.1440.2	orf19.1440.2	orf19.1440.2	orf19.1440.2		2038.97	4174.08	3936.65	6643.46	5780.21	3809.08
orf19.1441	orf19.1441	orf19.1441	orf19.1441		24396	20394.4	26825.6	17483.1	20068.9	18257.3
orf19.1442	orf19.1442	PLB4.5	PLB4.5		127039	127694	114707	25097.1	17626.3	10537
orf19.1444	orf19.1444	orf19.1444	orf19.1444		122900	113224	108072	130878	101119	123757
orf19.1445	orf19.1445	ESC4	ESC4		9523.37	7868.33	7137.83	7214.9	10987.9	9999.47
orf19.1446	orf19.1446	CLB2	CLB2		429.563			1021.22	2307.02	1427.79
orf19.1447	orf19.1447	orf19.1447	orf19.1447		8256.96	9040.83	9300.47	19134.9	17061.8	15385.4
orf19.1448	orf19.1448	APT1	APT1		421848	509068	436884	327050	281420	312271
orf19.1448.1	orf19.1448.1	orf19.1448.1	orf19.1448.1		59615.7	66281.6	82470.2	112273	112368	88299.7
orf19.1449	orf19.1449	orf19.1449	orf19.1449		2373.11	1874.53	1921.9	26103.2	22883.3	20814.6
orf19.145	orf19.145	RPB4	RPB4		59611.4	57076.4	65458.8	48169.3	44610.4	49280.8
orf19.1451	orf19.1451	SRB9	SRB9		12880.5	10379.7	12349	12549.2	18101.6	21307.5
orf19.1453	orf19.1453	SPT5	SPT5		48512.5	35923	42328	30407.6	39297.6	45106.7
orf19.1457	orf19.1457	orf19.1457	orf19.1457		5072.97	4958.77	4843.54	4966.37	5703.68	8010.95
orf19.1458	orf19.1458	orf19.1458	orf19.1458		19497.4	21089.7	19387.2	21909.5	22403	20015.2
